I1;I2;I1MAX;I1MIN;I1VAR;I2MAX;I2MIN;I2VAR;I3;I4;I3max;I3min;I3var;I4MAX;I4MIN;I5;I6;Itotal1;Itotalmax1;Itotalmin1;Vdcmean1;Vdcmax1;Vdcmin1;Pdcmean1;IR;T;range 1;range 2;range 3;range 4;class
3.464131585;3.464131585;3.77651478;3.433125243;5.37438E-05;3.77651478;3.433125243;5.37438E-05;3.755050256;3.755050256;3.782291689;3.745652791;5.4144E-05;3.782291689;3.745652791;3.755050256;3.755050256;426.8767281;457.3892155;394.661225;513.5227994;514.3694146;509.0026546;169.6033726;660;22;0.343389537;0.343389537;1.33227E-14;5.77316E-15;1
2.244765809;2.244765809;2.611713911;2.21097809;0.000350392;2.611713911;2.21097809;0.000350392;2.572121517;2.572121517;2.61461827;2.553621648;0.000381478;2.61461827;2.553621648;2.572121517;2.572121517;426.4354417;457.1222608;394.5751681;516.9592373;521.9705933;503.2414309;116.9540966;450;15;0.400735821;0.400735821;1.55431E-14;0;1
3.878360313;3.878360313;4.101281713;3.854098385;9.97587E-06;4.101281713;3.854098385;9.97587E-06;4.094576909;4.094576909;4.10679979;4.088955247;7.86493E-06;4.10679979;4.088955247;4.094576909;4.094576909;426.9477648;457.3887517;394.5936285;511.4592136;511.8370394;509.3789122;184.2133069;720;24;0.247183329;0.247183329;2.13163E-14;7.10543E-15;1
2.816388592;2.816388592;3.285793348;2.75814925;0.000192359;3.285793348;2.75814925;0.000192359;3.247759244;3.247759244;3.289337483;3.233320946;0.000203956;3.289337483;3.233320946;3.247759244;3.247759244;426.7386021;457.3362302;394.6921942;515.7579197;518.0284779;507.378348;147.2836352;570;19;0.527644097;0.527644097;1.19904E-14;1.33227E-14;1
1.238798405;1.238798405;5.455666573;0.141519477;0.001153152;5.455666573;0.141519477;0.001153152;5.465640192;5.465640192;5.472441612;5.457335473;7.54072E-06;5.472441612;5.457335473;5.465640192;5.465640192;497.6608565;499.9100717;493.5714013;500.3345985;500.8274176;500.1270364;238.6088437;960;32;5.314147096;5.314147096;2.44249E-14;2.04281E-14;1
4.967361071;4.967361071;5.114487582;4.947663247;7.98331E-06;5.114487582;4.947663247;7.98331E-06;5.119613436;5.119613436;5.126098833;5.110910315;6.98892E-06;5.126098833;5.110910315;5.119613436;5.119613436;467.5491241;469.4110273;464.0493693;503.5296038;503.7541382;503.2983797;226.776132;900;30;0.166824336;0.166824336;5.77316E-14;1.95399E-14;1
3.157037846;3.157037846;4.779538892;2.7537744;0.000170701;4.779538892;2.7537744;0.000170701;4.779906848;4.779906848;4.790567799;4.770081784;1.2192E-05;4.790567799;4.770081784;4.779906848;4.779906848;440.5913292;457.2664732;434.6030114;506.0834761;506.6830268;505.3939547;212.0838227;840;28;2.025764492;2.025764492;2.35367E-14;1.86517E-14;1
2.257497805;2.257497805;2.781367272;2.183820683;0.000358516;2.781367272;2.183820683;0.000358516;2.741517643;2.741517643;2.78445936;2.7238151;0.000359431;2.78445936;2.7238151;2.741517643;2.741517643;426.5186394;457.1973054;394.6202581;516.7775651;521.019926;504.4295616;124.5387868;480;16;0.597546588;0.597546588;1.68754E-14;4.88498E-15;1
3.089721529;3.089721529;4.26569134;2.805382583;8.3981E-05;4.26569134;2.805382583;8.3981E-05;4.265938427;4.265938427;4.271811178;4.261446985;2.77787E-06;4.271811178;4.261446985;4.265938427;4.265938427;426.9819555;457.3957757;394.5550222;510.1714929;510.3921199;509.125012;190.9560747;750;25;1.460308757;1.460308757;1.82077E-14;2.13163E-14;1
2.9252459;2.9252459;4.433857584;2.545095954;0.000145401;4.433857584;2.545095954;0.000145401;4.437534556;4.437534556;4.444814235;4.430006251;8.77198E-06;4.444814235;4.430006251;4.437534556;4.437534556;427.8399591;457.3411241;404.6857783;508.8197058;509.1691759;508.3840434;197.955711;780;26;1.88876163;1.88876163;2.04281E-14;0;1
4.349454349;4.349454349;4.567401016;4.334717137;1.9529E-05;4.567401016;4.334717137;1.9529E-05;4.554301694;4.554301694;4.572821502;4.547245903;1.80492E-05;4.572821502;4.547245903;4.554301694;4.554301694;430.4926871;457.3892242;415.6801985;514.6732075;515.0953082;511.934818;206.2086347;801;22;0.23268388;0.23268388;3.19744E-14;0;1
4.693365669;4.693365669;5.12684107;4.608856753;1.76308E-05;5.12684107;4.608856753;1.76308E-05;5.133616295;5.133616295;5.141864788;5.125496173;8.20991E-06;5.141864788;5.125496173;5.133616295;5.133616295;468.1412751;470.3868828;463.8596392;499.086805;499.4305718;498.8271151;225.2503463;902;33;0.517984316;0.517984316;1.86517E-14;7.99361E-15;1
-3.625482792;-3.625482792;1.586466106;-4.469290279;0.001918841;1.586466106;-4.469290279;0.001918841;1.588439372;1.588439372;1.591558046;1.586446115;6.13828E-07;1.591558046;1.586446115;1.588439372;1.588439372;426.9688783;457.2664702;394.3166528;494.2598573;494.7088797;493.8261632;66.62273747;278;28;6.055756385;6.055756385;7.99361E-15;5.55112E-15;1
2.81784044;2.81784044;3.12588557;2.757478294;6.83789E-06;3.12588557;2.757478294;6.83789E-06;3.130705307;3.130705307;3.134544496;3.126720534;1.86647E-06;3.134544496;3.126720534;3.130705307;3.130705307;426.9379592;457.1831969;394.1797468;502.3506005;502.6644547;502.0178531;138.2483069;550;29;0.368407276;0.368407276;1.5099E-14;1.02141E-14;1
3.462297954;3.462297954;3.693148883;3.425118836;5.12361E-06;3.693148883;3.425118836;5.12361E-06;3.695431521;3.695431521;3.699889494;3.690744155;2.44886E-06;3.699889494;3.690744155;3.695431521;3.695431521;426.6792982;456.6115404;393.4941809;497.6573481;497.8916076;497.3949211;161.7288293;649;33;0.268030047;0.268030047;1.33227E-14;7.99361E-15;1
4.447619495;4.447619495;4.690709116;4.408073032;5.92637E-06;4.690709116;4.408073032;5.92637E-06;4.695446141;4.695446141;4.700252886;4.689878224;2.9648E-06;4.700252886;4.689878224;4.695446141;4.695446141;435.7152542;456.8017763;426.1851492;500.3427861;500.4534064;500.2436082;206.6187997;825;32;0.282636084;0.282636084;3.01981E-14;1.15463E-14;1
1.631619762;1.631619762;1.837313653;1.61781406;0.000202533;1.837313653;1.61781406;0.000202533;1.808981042;1.808981042;1.840038901;1.794300966;0.000225179;1.840038901;1.794300966;1.808981042;1.808981042;426.3479035;457.070346;394.5171913;513.4491928;519.285186;498.7876349;81.72718071;316;14;0.219499593;0.219499593;7.10543E-15;6.88338E-15;1
2.089427371;2.089427371;3.148090794;1.897308686;0.001264834;3.148090794;1.897308686;0.001264834;3.098405671;3.098405671;3.151183171;3.068761952;0.000817501;3.151183171;3.068761952;3.098405671;3.098405671;425.9708714;456.7259917;394.282661;523.3690551;530.6411996;507.8248155;142.3317164;541;10;1.250782107;1.250782107;1.24345E-14;7.54952E-15;1
3.938369657;3.938369657;4.220086498;3.887706386;1.10079E-05;4.220086498;3.887706386;1.10079E-05;4.225701417;4.225701417;4.233053097;4.217994423;7.27597E-06;4.233053097;4.217994423;4.225701417;4.225701417;426.4722441;456.2231753;393.0799446;495.4573134;495.8003811;495.095687;184.1010172;742;35;0.332380112;0.332380112;2.53131E-14;1.77636E-14;1
